日新月异	日新月异 🌞❤🌙👆
令人注目	令人注目 🔔👦🐷👀
两手空空	两手空空 🕑✋⭕⭕
三羊开泰	三羊开泰 👌🐑🚗🌞
传道受业	传道受业 🚢🍴✋🍃 🚤🔪🙌🌿
两叶掩目	两叶掩目 🕑🍃🚬👀
五零四散	五零四散 🈚0⃣4⃣☔
足食足兵	足食足兵 👣🍚👣🍪
十风五雨	十风五雨 🕙💨5⃣☔
儿女亲家	儿女亲家 👦👧😚🏡
以德报怨	以德报怨 👕🉐👜⚪
白面儒冠	白面儒冠 ◻👦🍼🎩
凤舞龙飞	凤舞龙飞 💨💃🐉✈
茶饭不思	茶饭不思 ☕🍚🙅😔
朝三暮四	朝三暮四 ☀🕒🌙🕓
爱屋及乌	爱屋及乌 💕🏠🐔🏠
朝思暮想	朝思暮想 ☀4⃣🌛🐘
鸡同鸭讲	鸡同鸭讲 🐔🚽🐥📢
代代相承	代代相承 💼👜📷🍊
国色天香	国色天香 🍲😻⛅♨
一针见血	一针见血 ☝💉🚀⛄ 👕💉🚀⛄
马革裹尸	马革裹尸 🐎👦🍎💩
余音绕梁	余音绕梁 🐠🎼➰🍚 🐠🎶🌀🍚
过眼云烟	过眼云烟 🍎👀☁🚬
珠光宝气	珠光宝气 🔮💥💎🎈
一心一意	一心一意 👆❤➖👆
心口如一	心口如一 ❤👄🍼👆
当家立业	当家立业 🔔🏠🍐🌿
滔滔不绝	滔滔不绝 🌊🌊❌🈲
梨花带雨	梨花带雨 🍐🌹💰🌂
狼烟四起	狼烟四起 🐺🚬4⃣🚩 🐺🚬🍅🎆
龙马精神	龙马精神 🐉🐎✨👼
十全十美	十全十美 🕙👊🔟😻
雷声震耳	雷声震耳 💣💤💉👂 💣💤💉👂;
龙盘虎踞	龙盘虎踞 🐲💽🐅🍊
食古不化	食古不化 💩💀🙅💐
云泥之差	云泥之差 ☁🌾🈯✖
漫天要价	漫天要价 🈵☁🔑🏠
依依不舍	依依不舍 👕👕❌🏡
代代相传	代代相传 👜👜🐘⛵
饱经世故	饱经世故 💼🐳💩💀
两败俱伤	两败俱伤 2⃣⚪🍊🔝
以古为鉴	以古为鉴 👚💀📞✂
衣食住行	衣食住行 👕🍚🏠🚴
行云流水	行云流水 ⭐☁6⃣💦
手足无措	手足无措 ✋👣⭕❌
人走茶凉	人走茶凉 🙎🏃☕❄ 👦🏃🍵⛄
心如刀割	心如刀割 ❤🍼🔪🈹
喜上眉梢	喜上眉梢 😄⬆🌹🔥
小鸟依人	小鸟依人 😀🐤1⃣🙎
养家活口	养家活口 🐑🏡🔥👄
两意三心	两意三心 2⃣➖3⃣💕
依山傍水	依山傍水 👕🗻💪💧
睹物思人	睹物思人 👀🈚4⃣🙎
风行一世	风行一世 🌀🌠🕐🔟 🌀⭐👆🕙
吹吹打打	吹吹打打 🎺🎺🔨🔨
侯门似海	侯门似海 🐒🚪4⃣🌊 🐵🚪🍅🌊
一日三月	一日三月 ☝🌞3⃣🌙
鸡飞蛋打	鸡飞蛋打 🐔✈🍳👊 🐔✈🍳🔨
归心似箭	归心似箭 🐢💕🍅🚀 🐢❤️🍅🚀
人琴俱逝	人琴俱逝 🙎🎹🍊🔟
杯水车薪	杯水车薪 🍸💦🚗🆕 😞💧🚖✉ ☕💧🚗🆕 🍸☕️🚄💚
人山人海	人山人海 👱🗻👱🌊 👴🌋👵🌊
望眼欲穿	望眼欲穿 🔭👀🌽🚣 🔭👀🌽🚢
蛇鼠一窝	蛇鼠一窝 🐍🐭☝♨
马马虎虎	马马虎虎 🐎🐎🐅🐅 🐴🐴🐯🐯 🦄🦄🐯🐯 🐴🦄🐯🐯
心口不一	心口不一 💕👅✖👆 💓👄✋👔
琴棋书画	琴棋书画 🎻🚩📚🎨 🎻🚩📖🌺
一板一眼	一板一眼 👆🎬👆👀
行尸走肉	行尸走肉 🚶💀🏃🍗
人事不醒	人事不醒 👦💩❌✨
笔下生花	笔下生花 ✒⬇🎂🌺
白马非马	白马非马 ⚪🐎✈🐎
虎视眈眈	虎视眈眈 🐯👀🔴🔴
力不从心	力不从心 🍐🙅🐛❤
花花公子	花花公子 🌸🌷👴👦
雄视一世	雄视一世 🐻💩➖💩
车水马龙	车水马龙 🚗💧🐎🐲 🚙💦🐴🐉 🚑🍸🐴🐲
乐不思蜀	乐不思蜀 😄🙅4⃣🌲
愁眉苦脸	愁眉苦脸 😞🌹💊🙎 😔🌸💊👩 😒
五风十雨	五风十雨 5⃣💨➕☔
刀光剑影	刀光剑影 🔪⚡✂👯 ✂⚡🚀✌
飞龙在天	飞龙在天 ✈🐲👆☁
风华绝代	风华绝代 💨🌸🈲👜
白头偕老	白头偕老 ⚪👨👞👳
兵不厌诈	兵不厌诈 👮☝🐧💣
以耳代目	以耳代目 ➖👂👜👀
人仰马翻	人仰马翻 👦🐑🐴⛵ 👰🐑🐎⛵️
雪上加霜	雪上加霜 ⛄⬆➕❄
饱食终日	饱食终日 💼💩🀄🌞
口口相传	口口相传 👄👄🐘⛵
香草美人	香草美人 🐘🌱💃👦
手高眼低	手高眼低 ✋🍰👀🚕
倚老卖老	倚老卖老 👕👳🌾👳
见微知著	见微知著 🚀📞📃🐷
血雨腥风	血雨腥风 ⛄☔⭐💨
业业兢兢	业业兢兢 🍃🌿🐳🐋
求仁得仁	求仁得仁 ⚽👦🉐👦
语重心长	语重心长 ☔🀄❤🎤
得意之作	得意之作 🉐👚🍹♿
一龙一蛇	一龙一蛇 👆🐉👆🐍
价值连城	价值连城 🏠🍹👨🍊
狐假虎威	狐假虎威 🐺🏩🐱💢 " \"🐺🏩🐱💢 🐺🏩🐱💢
养虎为患	养虎为患 🐑🐯📞🔁
红男绿女	红男绿女 ❤👨💚👩 🌈👦🍃👧
华屋山丘	华屋山丘 🌸🈚🗻⚽
爱不释手	爱不释手 ❤🙅🔟✋
对牛弹琴	对牛弹琴 ✅🐮🎹🎹
猴年马月	猴年马月 🐒📅🐎🈷 🐒📅🐴🌙
风花雪月	风花雪月 🐝🌷❄🌛
杯弓蛇影	杯弓蛇影 🍸👴🐍👤
十十五五	十十五五 🕙🕙🈚🈚
花好月圆	花好月圆 🌸👌🌙🌕 🌷👌🌙⭕
花前月下	花前月下 🌺💰🌙⬇
海枯石烂	海枯石烂 🌊😭🔟🏀 🌊♨️🌋💔
步步惊心	步步惊心 👣👣😱❤
单枪独马	单枪独马 👆🔫1⃣🐎
机不可失	机不可失 🐔🙅🉑🔟
不依不饶	不依不饶 ❌👕🙅⏰
画龙点睛	画龙点睛 🎨🐲⚫👀
虎头虎脑	虎头虎脑 🐯🐯🐯🐯
动手动脚	动手动脚 ⭕✋⭕👣
放虎归山	放虎归山 ♦🐯🐢🗻 ♦️🐯🐢🌋
火烧火燎	火烧火燎 🔥♨🔥♨
竹马之交	竹马之交 🐷🐴📃👣
草木皆兵	草木皆兵 🌾🌲🙎❄
风和日丽	风和日丽 💨👘☀💪
狗急跳墙	狗急跳墙 🐶🐔💃🏢
一针一线	一针一线 👆📌👆➰
返老还童	返老还童 🍚👴⭕👶 🍚👴⭕️👶
画蛇添足	画蛇添足 ✏🐍☁👞
恶语伤人	恶语伤人 🐊🛁🔪👦 🐊☔️🔪👴
六亲不认	六亲不认 6⃣😚🙅👨
刮目相看	刮目相看 🍉👀🐘👀
魑魅魍魉	魑魅魍魉 👹👺💀👻 👺👿💀👻
唇齿相依	唇齿相依 👄😀🐘👆
察言观色	察言观色 ☕👀🎩😍
东奔西走	东奔西走 ❄🏃🍉🚶
与虎添翼	与虎添翼 🐠🐯⛅➖
风流人物	风流人物 💨6⃣👨🏡
业精于勤	业精于勤 🍃🐋🐟🎹
一手一足	一手一足 👆✋👆👣
十指连心	十指连心 💩✋🙎❤
草草收兵	草草收兵 🍀🍀✋🍪
千秋万世	千秋万世 💴🏀🍵➕
绰绰有余	绰绰有余 ❌❌🈶🐠
九九归一	九九归一 🕘🍻🐢👔 🍸🍺🐢👔
男女老少	男女老少 👨👩👴👶
三五成群	三五成群 👌✋🍊👗
三人成虎	三人成虎 👌🚶🍊🐅
笑口常开	笑口常开 😄👄🎤👐
手舞足蹈	手舞足蹈 ✋💃👞🙏 🕺🏻
舍己救人	舍己救人 🎯🐣🚑🙎 🐍🐔9⃣👦
无孔不入	无孔不入 🈚⭕🙅🍼
原原本本	原原本本 ⚪⚪📒📒
拨云见日	拨云见日 🍍☁🚀☀ 🍍☁️🚀🌞
指与世人	指与世人 😭😃🙅🏡思是
授受不亲	授受不亲 ✋✋❌😙
辣鸡	辣鸡 🌶️🐔 🥬🐓 🙃 🚮 🚯
妖魔鬼怪	妖魔鬼怪 👿👻💀👽
心照不宣	心照不宣 ♥💡👣📢 ❤️🌞✋📣
悲喜交加	悲喜交加 🏆🎎🙅🏩
眉目传情	眉目传情 🌹👀👄💏
猪朋狗友	猪朋狗友 🐷👫🐶👫
指腹为婚	指腹为婚 💅👨☎🎎
一拍即合	一拍即合 ☝👏🐔👘
骑虎难下	骑虎难下 🇨🇳🐯👦👇
鸡口牛后	鸡口牛后 🐓👄🐄🐵
一鸣惊人	一鸣惊人 👔🎷😃👵
掩人耳目	掩人耳目 🚬👸👂👀
刻舟求剑	刻舟求剑 🔪🚣🏀🚀
犀牛望月	犀牛望月 🌇🐂🔭🌙
一见钟情	一见钟情 ☝️🚀🀄️👫 💘
吉人天相	吉人天相 🐓👮🌞🐘
心心相印	心心相印 ❤️💜🐘👣 💕 💞 💕
吹牛拍马	吹牛拍马 🎷🐄🎬🐎
群龙无首	群龙无首 👗🐲💃👋
鸡飞狗跳	鸡飞狗跳 🐔🚁🐶💃
吉凶祸福	吉凶祸福 🐓🐻🐰🎽
欢天喜地	欢天喜地 😃🌞💓🚇
惊天动地	惊天动地 😨🌞💓🚇
望穿秋水	望穿秋水 🔭🚢🏀🍵
掩耳盗铃	掩耳盗铃 🚬👂👻🔔
鸡犬升天	鸡犬升天 🐣🐺🎆🌈
携手并肩	携手并肩 👠👋🍦✂️
守株待兔	守株待兔 ✋🐗🎩🐰
笔走龙蛇	笔走龙蛇 ✒️👣🐲🐍
千真万确	千真万确 📝️💉卍🐦
一锤定音	一锤定音 ☝️🔨📌🎵
鸡鸣而起	鸡鸣而起 🐓📢👂🚩
笔头生花	笔头生花 ✒️👶🎆🌹
嘴甜心苦	嘴甜心苦 👄🍫💜💦
零零星星	零零星星 🔔🔔🌠✳️
指桑骂槐	指桑骂槐 👉🐓👄🐕
移花接木	移花接木 📏🌹🍶👀
海啸山崩	海啸山崩 🌊😄🌋💥
人声鼎沸	人声鼎沸 👶🔊🎱👬
全心全意	全心全意 👊💜👊☝️
衣食父母	衣食父母 👕🍚👨👩
众望所归	众望所归 🀄️🔭🔒🐢
星罗棋布	星罗棋布 ⭐️🍍🚩🎽
前因后果	前因后果 💰🎤🐒💃
书香门第	书香门第 📖🍌🚪👬
飞鸟依人	飞鸟依人 ✈️🐦☝️👸
耳目一新	耳目一新 👂👀👕💚
怒火中烧	怒火中烧 💢🔥🀄🔥
面无人色	面无人色 🍜🈚🙎😍
渔翁之利	渔翁之利 🎏👴🍹💪
坐吃山空	坐吃山空 💺🍚🗻⚪
九流三教	九流三教 9⃣🕕3⃣👣
各就各位	各就各位 🈹🍺🈹📞
不吹不黑	不吹不黑 🙅‍🌬🙅‍🌑
有一说一	有一说一 🈶1⃣🗣1⃣
18禁	18禁 🔞
十八禁	十八禁 🔞
a	a あ ア ā á ă à Å ⓐ Ⓐ 🄰 🅐 🅰 ⒜ 🄐 🇦 𝒶 𝒜 𝓪 𝓐 𝔞 𝔄 𝖆 𝕬 a̶̶ A̶ 𝚊 𝙰 𝕒 𝔸 ȁ â ȃ ȧ ä ã ₐ ª ⱥ ꬰ ả ą ạ ḁ ẚ ấ ầ ẫ ẩ ắ ằ ẵ ẳ ǡ ǟ ǻ ậ ặ ᶏ ɐ ᵄ ɑ ᵅ ᶐ ɒ ᴀ Ɒ
aa	aa ꜳ
AB型血	AB型血 🆎
ae	ae æ ǣ ǽ
Afghanistan	Afghanistan 🇦🇫
African	African 🇨🇫
Åland	Åland 🇦🇽
Albania	Albania 🇦🇱
Algeria	Algeria 🇩🇿
alpha	alpha Α 𝛢 α 𝛼
Andorra	Andorra 🇦🇩
Angola	Angola 🇦🇴
Anguilla	Anguilla 🇦🇮
Antarctica	Antarctica 🇦🇶
Antigua	Antigua 🇦🇬
ao	ao ꜵ Ꜵ
Arab	Arab 🇦🇪
Argentina	Argentina 🇦🇷
Armenia	Armenia 🇦🇲
Aruba	Aruba 🇦🇼
Ascension	Ascension 🇦🇨
at	at @
atled	atled ∇
ATM	ATM 🏧
au	au ꜷ Ꜷ
Australia	Australia 🇦🇺
Austria	Austria 🇦🇹
av	av ꜹ ꜻ
ay	ay ꜽ Ꜽ
Azerbaijan	Azerbaijan 🇦🇿
A型血	A型血 🅰
b	b ⓑ Ⓑ 🄱 🅑 🅱 ⒝ 🄑 🇧 𝒷 ℬ 𝓫 𝓑 𝔟 𝔅 𝖇 𝕭 b̶ 𝚋 𝙱 𝕓 𝔹 ḃ ḅ ƀ ƃ ḇ ɓ ᵬ ᶀ ꞗ ʙ ᴃ
ba	ba ば バ
Bahamas	Bahamas 🇧🇸
Bahrain	Bahrain 🇧🇭
Bangladesh	Bangladesh 🇧🇩
Barbados	Barbados 🇧🇧
Barbuda	Barbuda 🇦🇬
be	be べ ベ
Belarus	Belarus 🇧🇾
Belgium	Belgium 🇧🇪
Belize	Belize 🇧🇿
Benin	Benin 🇧🇯
benzene	benzene ⌬ ⏣
Bermuda	Bermuda 🇧🇲
beta	beta Β 𝛣 𝛽
Bhutan	Bhutan 🇧🇹
bi	bi び ビ
bikini	bikini 👙
bo	bo ぼ ボ
Bolivia	Bolivia 🇧🇴
Bosnia	Bosnia 🇧🇦
Botswana	Botswana 🇧🇼
Bouvet	Bouvet 🇧🇻
BP机	BP机 📟
Brazil	Brazil 🇧🇷
Brunei	Brunei 🇧🇳
bu	bu ぶ ブ
Bulgaria	Bulgaria 🇧🇬
BurkinaFaso	BurkinaFaso 🇧🇫
Burundi	Burundi 🇧🇮
bya	bya びゃ ビャ
byo	byo びょ ビョ
byu	byu びゅ ビュ
B型血	B型血 🅱
c	c ℃ ⓒ Ⓒ 🄲 🅒 🅲 ⒞ 🄒 🇨 𝒸 𝒞 𝓬 𝓒 𝔠 ℭ 𝖈 𝕮 c̶ 𝚌 𝙲 𝕔 ℂ ç ć č ĉ ċ ȼ ꞓ ƈ ḉ ɕ ꜿ ᴄ
Cambodia	Cambodia 🇰🇭
Cameroon	Cameroon 🇨🇲
Canada	Canada 🇨🇦
Caribbean	Caribbean 🇧🇶
ce	ce せﾟ セﾟ
Ceuta	Ceuta 🇪🇦
cha	cha ちゃ チャ
Chad	Chad 🇹🇩
che	che ちぇ チェ
chi	chi Χ 𝛸 𝜒 ち チ
Chile	Chile 🇨🇱
China	China 🇨🇳
cho	cho ちょ チョ
Christmas	Christmas 🇨🇽
chu	chu ちゅ チュ
Clipperton	Clipperton 🇨🇵
Cocos	Cocos 🇨🇨
Colombia	Colombia 🇨🇴
Congo	Congo 🇨🇩 🇨🇬
Cook	Cook 🇨🇰
Croatia	Croatia 🇭🇷
Cuba	Cuba 🇨🇺
Curaçao	Curaçao 🇨🇼
Cyprus	Cyprus 🇨🇾
Czech	Czech 🇨🇿
d	d ⓓ Ⓓ 🄳 🅓 🅳 ⒟ 🄓 🇩 𝒹 𝒟 𝓭 𝓓 𝔡 𝔇 𝖉 𝕯 d̶ 𝚍 𝙳 𝕕 𝔻 ď ḋ đ ƌ ᵭ ḑ ḓ ḏ ḍ ɖ ɗ ᶑ ᶁ ð ꝱ ʤ ʣ ʥ ȡ ƍ ǳ ǆ ẟ ᴅ ᴆ
da	da だ ダ
dagger	dagger † ‡ 🗡
db	db ȸ
de	de で デ
del	del ∇
delta	delta Δ 𝛥 𝛿
Denmark	Denmark 🇩🇰
di	di でぃ ディ
Djibouti	Djibouti 🇩🇯
DNA	DNA 🧬
do	do ど ド
Dominica	Dominica 🇩🇲 🇩🇴
du	du どぅ ドゥ
dya	dya でゃ デャ
dyo	dyo でょ デョ
dyu	dyu でゅ デュ
e	e え エ ē é ĕ è ⓔ Ⓔ 🄴 🅔 🅴 ⒠ 🄔 🇪 ℯ 𝓮 𝓔 𝔢 𝔈 𝖊 𝕰 e̶ 𝚎 𝙴 𝕖 𝔼 ȅ ê ȇ ė ë ẽ ₑ ɇ ꬳ ẻ ȩ ę ḙ ẹ ḛ ḗ ḕ ế ề ễ ể ḝ ệ ᶒ ɘ ə ɚ ᶕ ɛ ᶓ ɜ ᵌ ɝ ᶔ ɞ ʚ ǝ ₔ ȝ ⱸ ᴇ ⱻ
Ecuador	Ecuador 🇪🇨
Egypt	Egypt 🇪🇬
epsilon	epsilon Ε 𝛦 𝜀 𝜖
Eritrea	Eritrea 🇪🇷
Estonia	Estonia 🇪🇪
eta	eta Η 𝛨 𝜂
Ethiopia	Ethiopia 🇪🇹
f	f ℉ ⓕ Ⓕ 🄵 🅕 🅵 ⒡ 🄕 🇫 𝒻 ℱ 𝓯 𝓕 𝔣 𝔉 𝖋 𝕱 f̶ 𝚏 𝙵 𝕗 𝔽 ḟ ƒ ᵮ ᶂ ꞙ ꜰ ꟻ
fa	fa ふぁ ファ
Falkland	Falkland 🇫🇰
Faroe	Faroe 🇫🇴
fe	fe ふぇ フェ
ff	ff ﬀ
ffi	ffi ﬃ
ffl	ffl ﬄ
fi	fi ﬁ ふぃ フィ
Fiji	Fiji 🇫🇯
Finland	Finland 🇫🇮
fl	fl ﬂ
fn	fn ʩ
fo	fo ふぉ フォ
France	France 🇫🇷
fu	fu ふ フ
fya	fya ふゃ フャ
fyo	fyo ふょ フョ
fyu	fyu ふゅ フュ
g	g ⓖ Ⓖ 🄶 🅖 🅶 ⒢ 🄖 🇬 ℊ 𝒢 𝓰 𝓖 𝔤 𝔊 𝖌 𝕲 g̶ 𝚐 𝙶 𝕘 𝔾 ḡ ǵ ǧ ĝ ğ ġ ǥ ꞡ ģ ɠ ᵷ ᶃ ɡ ꬶ ɣ ɤ ᵹ ʛ
ga	ga が ガ
Gabon	Gabon 🇬🇦
Gambia	Gambia 🇬🇲
gamma	gamma Γ 𝛤 𝛾
ge	ge げ ゲ
Georgia	Georgia 🇬🇪
Germany	Germany 🇩🇪
Ghana	Ghana 🇬🇭
gi	gi ぎ ギ
Gibraltar	Gibraltar 🇬🇮
go	go ご ゴ
Greece	Greece 🇬🇷
Greenland	Greenland 🇬🇱
Grenada	Grenada 🇬🇩
gu	gu ぐ グ
Guam	Guam 🇬🇺
Guatemala	Guatemala 🇬🇹
Guinea	Guinea 🇬🇳
gwa	gwa ぐゎ グヮ
gya	gya ぎゃ ギャ
gyo	gyo ぎょ ギョ
gyu	gyu ぎゅ ギュ
h	h ⓗ Ⓗ 🄷 🅗 🅷 ⒣ 🄗 🇭 ℏ ħ 𝒽 ℋ 𝓱 𝓗 𝔥 ℌ 𝖍 𝕳 h̶ 𝚑 𝙷 𝕙 ℍ ĥ ȟ ḣ ḧ ͪ ɦ ꜧ ꭜ ɧ ḩ ẖ ḫ ḥ ⱨ ɥ ʮ ʯ ⱶ ʜ Ɥ
ha	ha は ハ
Haiti	Haiti 🇭🇹
Halloween	Halloween 😨 😰 😱 🤡 😈 👿 👹 👺 💀 ☠ 👻 👽 👾 🤖 🧙‍ 🧚‍ 🧛‍ 🧜‍ 🧝‍ 🧞‍ 🧟‍ 🕴 💚 🖤 🦄 🦇 🦉 🕷 🕸 🥀 🍫 🍬 🍭 🏚 🌃 🛸 🌕 🌚 🌩 ⚡ 🎃 🔮 🎭 🕯 🗡 ⛓ ⚰ ⚱
hbar	hbar ℏ ħ
he	he へ ヘ
Herzegovina	Herzegovina 🇧🇦
hi	hi ひ ヒ
ho	ho ほ ホ
Honduras	Honduras 🇭🇳
hu	hu ほぅ ホゥ
Hungary	Hungary 🇭🇺
hv	hv ƕ
hya	hya ひゃ ヒャ
hyo	hyo ひょ ヒョ
hyu	hyu ひゅ ヒュ
i	i い イ ī í ĭ ì ⓘ Ⓘ 🄸 🅘 🅸 ⒤ 🄘 🇮 𝒾 ℐ 𝓲 𝓘 𝔦 ℑ 𝖎 𝕴 i̶ 𝚒 𝙸 𝕚 𝕀 ȉ î ȋ ï ĩ ᵢ ı ɨ ỉ į ị ḭ ᴉ ḯ ᶖ ɩ ᵼ ɪ ᵻ ꟾ
Iceland	Iceland 🇮🇸
ij	ij ĳ
India	India 🇮🇳
Indonesia	Indonesia 🇮🇩
iota	iota Ι 𝛪 𝜄
Iran	Iran 🇮🇷
Iraq	Iraq 🇮🇶
Ireland	Ireland 🇮🇪
Israel	Israel 🇮🇱
Italy	Italy 🇮🇹
j	j ⓙ Ⓙ 🄹 🅙 🅹 ⒥ 🄙 🇯 𝒿 𝒥 𝓳 𝓙 𝔧 𝔍 𝖏 𝕵 j̶ 𝚓 𝙹 𝕛 𝕁 ĵ ǰ ⱼ ɉ ȷ ɟ ʄ ʝ ᴊ Ʝ
ja	ja じゃ ジャ
Jamaica	Jamaica 🇯🇲
Japan	Japan 🇯🇵 🗾 🎌
je	je じぇ ジェ
ji	ji じ ジ ぢ ヂ
jo	jo じょ ジョ
Jordan	Jordan 🇯🇴
ju	ju じゅ ジュ
k	k ⓚ Ⓚ 🄺 🅚 🅺 ⒦ 🄚 🇰 𝓀 𝒦 𝓴 𝓚 𝔨 𝔎 𝖐 𝕶 k̶ 𝚔 𝙺 𝕜 𝕂 ḱ ǩ ₖ ꝁ ꝃ ꞣ ꝅ ķ ḵ ḳ ƙ ᶄ ⱪ ʞ ĸ ᴋ Ʞ
ka	ka か カ
kappa	kappa Κ 𝛫 𝜅 ϰ 𝜘
Kazakhstan	Kazakhstan 🇰🇿
ke	ke け ケ
Kenya	Kenya 🇰🇪
ki	ki き キ
Kiribati	Kiribati 🇰🇮
ko	ko こ コ
Korea	Korea 🇰🇵 🇰🇷
Kosovo	Kosovo 🇽🇰
ku	ku く ク
Kuwait	Kuwait 🇰🇼
kwa	kwa くぁ クァ くゎ クヮ
kwe	kwe くぇ クェ
kwi	kwi くぃ クィ
kwo	kwo くぉ クォ
kwya	kwya くゃ クャ
kwyo	kwyo くょ クョ
kwyu	kwyu くゅ クュ
kya	kya きゃ キャ
kyo	kyo きょ キョ
Kyrgyzstan	Kyrgyzstan 🇰🇬
kyu	kyu きゅ キュ
l	l ⓛ Ⓛ 🄻 🅛 🅻 ⒧ 🄛 🇱 𝓁 ℒ 𝓵 𝓛 𝔩 𝔏 𝖑 𝕷 l̶ 𝚕 𝙻 𝕝 𝕃 ĺ ł ꝉ ƚ ⱡ ɫ ꭞ ɬ ľ ļ ḻ ḽ ḷ ŀ ꝲ ƛ ᶅ ɭ ḹ ȴ ꝇ ʟ ᴌ
la	la らﾟ ラﾟ
lambda	lambda Λ 𝛬 𝜆
Latvia	Latvia 🇱🇻
le	le れﾟ レﾟ
Lebanon	Lebanon 🇱🇧
Lesotho	Lesotho 🇱🇸
li	li りﾟ リﾟ
Liberia	Liberia 🇱🇷
Libya	Libya 🇱🇾
Liechtenstein	Liechtenstein 🇱🇮
Lithuania	Lithuania 🇱🇹
lj	lj ǉ
ll	ll ỻ
lo	lo ろﾟ ロﾟ
ls	ls ʪ
lu	lu るﾟ ルﾟ
Luxemburg	Luxemburg 🇱🇺
lya	lya りﾟゃ リﾟャ
lyo	lyo りﾟょ リﾟョ
lyu	lyu りﾟゅ リﾟュ
lz	lz ʫ ɮ
m	m ⓜ Ⓜ 🄼 🅜 🅼 ⒨ 🄜 🇲 𝓂 ℳ 𝓶 𝓜 𝔪 𝔐 𝖒 𝕸 m̶ 𝚖 𝙼 𝕞 𝕄 ḿ ṁ ₘ ṃ ᵯ ɱ ꬺ ᶆ ꝳ ɯ ɰ ᴟ ᴍ ꟽ ꟿ
ma	ma ま マ
Macau	Macau 🇲🇴
Macedonia	Macedonia 🇲🇰
Madagascar	Madagascar 🇲🇬
Malawi	Malawi 🇲🇼
Malaysia	Malaysia 🇲🇾
Maldives	Maldives 🇲🇻
Mali	Mali 🇲🇱
Malta	Malta 🇲🇹
Mauritania	Mauritania 🇲🇷
Mauritius	Mauritius 🇲🇺
me	me め メ
Melilla	Melilla 🇪🇦
Mexico	Mexico 🇲🇽
mi	mi み ミ
mo	mo も モ
Moldova	Moldova 🇲🇩
Monaco	Monaco 🇲🇨
Mongolia	Mongolia 🇲🇳
Montenegro	Montenegro 🇲🇪
Morocco	Morocco 🇲🇦
Mozambique	Mozambique 🇲🇿
mu	mu Μ 𝛭 𝜇 む ム
mya	mya みゃ ミャ
Myanmar	Myanmar 🇲🇲
myo	myo みょ ミョ
myu	myu みゅ ミュ
n	n ん ン ⓝ Ⓝ 🄽 🅝 🅽 ⒩ 🄝 🇳 𝓃 𝒩 𝓷 𝓝 𝔫 𝔑 𝖓 𝕹 n̶ 𝚗 𝙽 𝕟 ℕ ń ň ǹ ṅ ñ ₙ ⁿ ɲ ɳ ȵ ƞ ŋ ꬻ ꝴ ŉ ꞥ ņ ṉ ṋ ṇ ᵰ ꞑ ᶇ ᴻ
na	na な ナ
nabla	nabla ∇
Namibia	Namibia 🇳🇦
Nauru	Nauru 🇳🇷
ne	ne ね ネ
Nepal	Nepal 🇳🇵
Netherlands	Netherlands 🇳🇱
nga	nga かﾟ カﾟ
